RAF.Benson, ENG, GBR
Tilt Degrees,0.0, Bearing Degrees, 0.0, Ground Reflectance, 20.0
month,day,hour,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Global Horiz Ill,Direct Norm Ill,Wind Speed,Wind Direction,Sky Cover,Tilt Surface Rad,
 , , ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),lux,lux,ms,degrees,percent,(Wh/sq.m),
1,1,1,12.3,11.188889,1.1111116,10.4,88.0,0.0,0.0,0.0,0.0,0.0,6.7,210.0,90.0,0.0,
1,1,2,11.9,11.233333,0.666667,10.8,93.0,0.0,0.0,0.0,0.0,0.0,5.1,230.0,90.0,0.0,
1,1,3,11.8,11.133334,0.66666603,10.7,93.0,0.0,0.0,0.0,0.0,0.0,5.1,210.0,90.0,0.0,
1,1,4,11.7,10.755554,0.9444456,10.1,90.0,0.0,0.0,0.0,0.0,0.0,4.6,210.0,90.0,0.0,
1,1,5,12.1,10.877777,1.2222233,10.0,87.0,0.0,0.0,0.0,0.0,0.0,5.7,210.0,0.0,0.0,
1,1,6,11.8,10.68889,1.1111097,9.8,88.0,0.0,0.0,0.0,0.0,0.0,5.7,210.0,90.0,0.0,
1,1,7,11.7,10.496294,1.2037058,9.6,87.0,0.0,0.0,0.0,0.0,0.0,4.6,210.0,40.0,0.0,
1,1,8,11.7,10.125926,1.5740738,8.9,83.0,0.0,0.0,0.0,0.0,0.0,4.6,230.0,90.0,0.0,
1,1,9,11.0,9.472222,1.5277777,8.3,83.0,15.0,0.0,15.0,2862.0,0.0,5.7,200.0,50.0,15.0,
1,1,10,11.1,9.849999,1.250001,8.8,86.0,39.0,0.0,39.0,6407.0,95.0,5.1,200.0,50.0,39.0,
1,1,11,11.2,9.903705,1.2962952,8.8,85.0,64.0,4.0,63.0,9023.0,397.0,6.7,200.0,90.0,63.999996,
1,1,12,11.8,10.0222225,1.7777777,8.7,81.0,83.0,7.0,81.0,9690.0,400.0,7.2,210.0,90.0,82.99999,
1,1,13,11.7,9.755554,1.9444456,8.2,79.0,75.0,4.0,74.0,7683.0,111.0,8.2,200.0,10.0,75.0,
1,1,14,11.5,9.833333,1.666667,8.4,81.0,39.0,1.0,39.0,3203.0,13.0,4.6,200.0,90.0,39.0,
1,1,15,11.3,9.633333,1.666667,8.1,81.0,10.0,0.0,10.0,589.0,0.0,4.6,200.0,90.0,10.0,
1,1,16,10.4,9.566668,0.83333206,8.9,90.0,2.0,0.0,2.0,80.0,0.0,3.1,210.0,100.0,2.0,
1,1,17,10.0,9.305555,0.69444466,8.7,92.0,0.0,0.0,0.0,0.0,0.0,5.7,180.0,90.0,0.0,
1,1,18,9.7,8.866666,0.83333397,8.2,90.0,0.0,0.0,0.0,0.0,0.0,4.1,200.0,90.0,0.0,
1,1,19,9.4,8.705555,0.69444466,8.2,92.0,0.0,0.0,0.0,0.0,0.0,3.1,230.0,90.0,0.0,
1,1,20,9.5,8.555553,0.94444656,7.7,89.0,0.0,0.0,0.0,0.0,0.0,4.6,230.0,10.0,0.0,
1,1,21,8.8,7.6888885,1.1111116,6.6,86.0,0.0,0.0,0.0,0.0,0.0,4.6,230.0,50.0,0.0,
1,1,22,8.3,7.003706,1.2962942,5.7,84.0,0.0,0.0,0.0,0.0,0.0,4.6,230.0,50.0,0.0,
1,1,23,7.3,5.772222,1.5277781,4.2,81.0,0.0,0.0,0.0,0.0,0.0,3.6,230.0,0.0,0.0,
1,1,24,5.9,4.927779,0.9722209,3.9,87.0,0.0,0.0,0.0,0.0,0.0,3.6,220.0,0.0,0.0,
1,2,1,5.3,4.466667,0.833333,3.7,89.0,0.0,0.0,0.0,0.0,0.0,3.1,200.0,0.0,0.0,
1,2,2,5.2,4.4592605,0.74073935,3.7,90.0,0.0,0.0,0.0,0.0,0.0,4.6,190.0,30.0,0.0,
1,2,3,4.1,3.544445,0.55555487,2.8,91.0,0.0,0.0,0.0,0.0,0.0,3.1,190.0,30.0,0.0,
1,2,4,4.5,3.7592592,0.7407408,2.9,89.0,0.0,0.0,0.0,0.0,0.0,3.6,210.0,30.0,0.0,
1,2,5,4.2,3.4592607,0.7407391,2.6,89.0,0.0,0.0,0.0,0.0,0.0,3.6,200.0,90.0,0.0,
1,2,6,5.1,4.127778,0.97222185,3.1,87.0,0.0,0.0,0.0,0.0,0.0,5.1,220.0,90.0,0.0,
1,2,7,4.2,3.3666675,0.8333323,2.4,88.0,0.0,0.0,0.0,0.0,0.0,4.1,210.0,90.0,0.0,
1,2,8,3.9,3.0666668,0.83333325,1.9,87.0,0.0,0.0,0.0,0.0,0.0,3.6,220.0,0.0,0.0,
1,2,9,3.6,2.7666664,0.8333335,1.7,87.0,56.0,211.0,24.0,10424.0,36333.0,5.7,210.0,30.0,55.999992,
1,2,10,3.5,2.4814818,1.0185182,1.3,85.0,136.0,495.0,47.0,17964.0,55761.0,4.1,220.0,0.0,136.00002,
1,2,11,4.5,3.3888881,1.1111119,1.8,83.0,199.0,594.0,58.0,22229.0,60537.0,4.6,220.0,0.0,198.99995,
1,2,12,5.7,3.84815,1.8518498,1.7,75.0,217.0,594.0,62.0,22069.0,57401.0,6.2,240.0,30.0,217.00005,
1,2,13,5.9,3.7703726,2.1296275,1.3,72.0,196.0,532.0,64.0,17602.0,46079.0,7.2,240.0,30.0,195.99997,
1,2,14,6.7,4.3388877,2.361112,1.7,70.0,134.0,372.0,57.0,10412.0,31513.0,6.7,240.0,30.0,134.0,
1,2,15,6.8,4.5777764,2.2222238,2.0,71.0,60.0,244.0,33.0,4146.0,18746.0,7.7,230.0,50.0,59.999992,
1,2,16,5.5,3.5555563,1.9444437,1.3,74.0,16.0,0.0,9.0,876.0,6180.0,8.2,230.0,30.0,16.0,
